SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
1015,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,4,45,M,Nepali Congress,550,Elected
1016,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,4,51,M,Communist Party of Nepal (UML),532,Elected
1017,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,4,43,F,Nepali Congress,580,Elected
1018,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,4,38,F,Communist Party of Nepal (UML),570,Elected
1019,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,5,39,M,Nepali Congress,349,Elected
1020,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,5,39,M,Nepali Congress,331,Elected
1021,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,5,38,M,Nepali Congress,309,Elected
1022,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,5,41,F,Communist Party of Nepal (UML),315,Elected
1023,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,5,63,F,Communist Party of Nepal (UML),334,Elected
1024,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,6,60,M,Communist Party of Nepal (UML),479,Elected
1025,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,6,58,M,Communist Party of Nepal (UML),418,Elected
1026,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,6,47,M,Communist Party of Nepal (UML),410,Elected
1027,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,6,41,F,Communist Party of Nepal (UML),419,Elected
1028,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,6,44,F,Communist Party of Nepal (UML),422,Elected
1029,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,7,38,M,Communist Party of Nepal (UML),507,Elected
1030,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,7,55,M,Communist Party of Nepal (UML),472,Elected
1031,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,7,58,M,Communist Party of Nepal (UML),398,Elected
1032,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,7,25,F,Communist Party of Nepal (UML),457,Elected
1033,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,7,53,F,Communist Party of Nepal (UML),463,Elected
1034,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,8,41,M,Nepali Congress,543,Elected
1035,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,8,46,M,Nepali Congress,537,Elected
1036,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,8,57,M,Nepali Congress,449,Elected
1037,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,8,37,F,Nepali Congress,496,Elected
1038,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,8,54,F,Nepali Congress,499,Elected
1039,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,9,41,M,Communist Party of Nepal (UML),1108,Elected
1040,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,9,43,M,Communist Party of Nepal (UML),1110,Elected
1041,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,9,58,M,Communist Party of Nepal (UML),1057,Elected
1042,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,9,48,F,Communist Party of Nepal (UML),1090,Elected
1043,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,9,43,F,Communist Party of Nepal (UML),1093,Elected
1044,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,10,61,M,Nepali Congress,575,Elected
1045,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,10,49,M,Communist Party of Nepal (UML),566,Elected
1046,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,10,64,M,Communist Party of Nepal (UML),552,Elected
1047,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,10,35,F,Communist Party of Nepal (UML),543,Elected
1048,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,10,38,F,Communist Party of Nepal (UML),573,Elected
1049,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,11,54,M,Communist Party of Nepal (UML),362,Elected
1050,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,11,50,M,Communist Party of Nepal (UML),331,Elected
1051,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,11,54,M,Communist Party of Nepal (UML),324,Elected
1052,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,11,32,F,Communist Party of Nepal (UML),340,Elected
1053,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,11,35,F,Communist Party of Nepal (UML),337,Elected
1054,Province 1,Sankhuwasawa,Chichila Rural Municipality,Mayor,,38,M,Nepali Congress,1462,Elected
1055,Province 1,Sankhuwasawa,Chichila Rural Municipality,Vice-Mayor,,46,F,Nepali Congress,1371,Elected
1056,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward President,1,40,M,Nepali Congress,187,Elected
1057,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,1,60,M,Nepali Congress,206,Elected
1058,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,1,37,M,Nepali Congress,206,Elected
1059,Province 1,Sankhuwasawa,Chichila Rural Municipality,Female Ward Member,1,30,F,Nepali Congress,201,Elected
1060,Province 1,Sankhuwasawa,Chichila Rural Municipality,Dalit Female Ward Member,1,28,F,Nepali Congress,206,Elected
1061,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward President,2,40,M,Communist Party of Nepal (Maoist Centre),288,Elected
1062,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (Maoist Centre),298,Elected
1063,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (Maoist Centre),283,Elected
1064,Province 1,Sankhuwasawa,Chichila Rural Municipality,Female Ward Member,2,48,F,Communist Party of Nepal (Maoist Centre),288,Elected
1065,Province 1,Sankhuwasawa,Chichila Rural Municipality,Dalit Female Ward Member,2,45,F,Communist Party of Nepal (Maoist Centre),294,Elected
1066,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward President,3,49,M,Nepali Congress,290,Elected
1067,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,3,24,M,Nepali Congress,265,Elected
1068,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,3,43,M,Nepali Congress,201,Elected
1069,Province 1,Sankhuwasawa,Chichila Rural Municipality,Female Ward Member,3,33,F,Nepali Congress,205,Elected
1070,Province 1,Sankhuwasawa,Chichila Rural Municipality,Dalit Female Ward Member,3,46,F,Nepali Congress,215,Elected
1071,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward President,4,56,M,Nepali Congress,326,Elected
1072,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,4,36,M,Nepali Congress,336,Elected
1073,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,4,35,F,Nepali Congress,316,Elected
1074,Province 1,Sankhuwasawa,Chichila Rural Municipality,Female Ward Member,4,59,F,Nepali Congress,318,Elected
1075,Province 1,Sankhuwasawa,Chichila Rural Municipality,Dalit Female Ward Member,4,41,F,Nepali Congress,312,Elected
1076,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward President,5,65,M,Nepali Congress,350,Elected
1077,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,5,43,M,Nepali Congress,357,Elected
1078,Province 1,Sankhuwasawa,Chichila Rural Municipality,Ward Member,5,50,M,Nepali Congress,344,Elected
1079,Province 1,Sankhuwasawa,Chichila Rural Municipality,Female Ward Member,5,44,F,Nepali Congress,346,Elected
1080,Province 1,Sankhuwasawa,Chichila Rural Municipality,Dalit Female Ward Member,5,33,F,Nepali Congress,343,Elected
1081,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Mayor,,62,M,Communist Party of Nepal (UML),5317,Elected
1082,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Vice-Mayor,,57,F,Communist Party of Nepal (UML),5398,Elected
1083,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,1,49,M,Nepali Congress,645,Elected
1084,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,1,39,M,Nepali Congress,644,Elected
1085,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,1,28,M,Nepali Congress,637,Elected
1086,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,1,46,F,Nepali Congress,654,Elected
1087,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,1,28,F,Nepali Congress,659,Elected
1088,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,2,49,M,Communist Party of Nepal (UML),694,Elected
1089,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,2,57,M,Communist Party of Nepal (UML),701,Elected
1090,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),700,Elected
1091,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,2,63,F,Communist Party of Nepal (UML),689,Elected
1092,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,2,35,F,Communist Party of Nepal (UML),699,Elected
1093,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,3,47,M,Communist Party of Nepal (UML),566,Elected
1094,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,3,51,M,Communist Party of Nepal (UML),550,Elected
1095,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,3,56,M,Communist Party of Nepal (UML),547,Elected
1096,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,3,36,F,Communist Party of Nepal (UML),581,Elected
1097,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,3,37,F,Communist Party of Nepal (UML),576,Elected
1098,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,4,39,M,Communist Party of Nepal (UML),702,Elected
1099,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,4,57,M,Communist Party of Nepal (UML),698,Elected
1100,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,4,38,M,Communist Party of Nepal (UML),691,Elected
1101,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,4,31,F,Communist Party of Nepal (UML),702,Elected
1102,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,4,43,F,Communist Party of Nepal (UML),705,Elected
1103,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,5,48,M,Communist Party of Nepal (UML),323,Elected
1104,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,5,67,M,Communist Party of Nepal (UML),309,Elected
1105,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,5,36,M,Communist Party of Nepal (UML),308,Elected
1106,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,5,40,F,Communist Party of Nepal (UML),299,Elected
1107,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,5,46,F,Communist Party of Nepal (UML),304,Elected
1108,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,6,48,M,Communist Party of Nepal (UML),645,Elected
1109,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,6,31,M,Communist Party of Nepal (UML),660,Elected
1110,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,6,46,M,Communist Party of Nepal (UML),634,Elected
1111,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,6,53,F,Communist Party of Nepal (UML),648,Elected
1112,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,6,39,F,Communist Party of Nepal (UML),645,Elected
1113,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,7,59,M,Communist Party of Nepal (UML),486,Elected
1114,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,7,71,M,Communist Party of Nepal (UML),478,Elected
1115,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,7,59,M,Communist Party of Nepal (UML),449,Elected
1116,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,7,49,F,Communist Party of Nepal (UML),486,Elected
1117,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,7,23,F,Communist Party of Nepal (UML),492,Elected
1118,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,8,35,M,Communist Party of Nepal (Maoist Centre),299,Elected
1119,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,8,45,M,Communist Party of Nepal (UML),276,Elected
1120,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,8,38,M,Nepali Congress,262,Elected
1121,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,8,46,F,Nepali Congress,251,Elected
1122,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,8,28,F,Nepali Congress,251,Elected
1123,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,9,57,M,Communist Party of Nepal (Maoist Centre),285,Elected
1124,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,9,31,M,Communist Party of Nepal (Maoist Centre),292,Elected
1125,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,9,48,M,Communist Party of Nepal (Maoist Centre),281,Elected
1126,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,9,37,F,Communist Party of Nepal (Maoist Centre),298,Elected
1127,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,9,31,F,Communist Party of Nepal (Maoist Centre),289,Elected
1128,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,10,40,M,Communist Party of Nepal (UML),566,Elected
1129,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,10,40,M,Communist Party of Nepal (UML),512,Elected
1130,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,10,56,M,Communist Party of Nepal (UML),505,Elected
1131,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,10,47,F,Communist Party of Nepal (UML),583,Elected
1132,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,10,39,F,Communist Party of Nepal (UML),543,Elected
1133,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward President,11,47,M,Communist Party of Nepal (UML),402,Elected
1134,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,11,40,M,Nepali Congress,436,Elected
1135,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (UML),407,Elected
1136,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Female Ward Member,11,43,F,Nepali Congress,499,Elected
1137,Province 1,Sankhuwasawa,Chainapur Urban Municipality,Dalit Female Ward Member,11,23,F,Communist Party of Nepal (UML),432,Elected
1138,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Mayor,,37,M,Nepali Congress,3929,Elected
1139,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Vice-Mayor,,44,F,Nepali Congress,3510,Elected
1140,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward President,1,54,M,Communist Party of Nepal (UML),456,Elected
1141,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,1,54,M,Communist Party of Nepal (UML),440,Elected
1142,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),434,Elected
1143,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Female Ward Member,1,33,F,Communist Party of Nepal (UML),446,Elected
1144,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Dalit Female Ward Member,1,42,F,Communist Party of Nepal (UML),448,Elected
1145,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward President,2,46,M,Communist Party of Nepal (UML),329,Elected
1146,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,2,54,M,Communist Party of Nepal (UML),320,Elected
1147,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,2,47,F,Communist Party of Nepal (UML),304,Elected
1148,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Female Ward Member,2,47,F,Communist Party of Nepal (UML),331,Elected
1149,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Dalit Female Ward Member,2,48,F,Communist Party of Nepal (UML),313,Elected
1150,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward President,3,54,M,Communist Party of Nepal (UML),531,Elected
1151,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,3,41,M,Communist Party of Nepal (UML),551,Elected
1152,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,3,58,M,Communist Party of Nepal (UML),547,Elected
1153,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Female Ward Member,3,38,F,Communist Party of Nepal (UML),556,Elected
1154,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Dalit Female Ward Member,3,39,F,Communist Party of Nepal (UML),542,Elected
1155,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward President,4,33,M,Nepali Congress,571,Elected
1156,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,4,49,M,Nepali Congress,507,Elected
1157,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,4,39,M,Nepali Congress,474,Elected
1158,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Female Ward Member,4,43,F,Nepali Congress,504,Elected
1159,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Dalit Female Ward Member,4,28,F,Nepali Congress,536,Elected
1160,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward President,5,55,M,Communist Party of Nepal (UML),506,Elected
1161,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,5,34,M,Communist Party of Nepal (UML),509,Elected
1162,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Ward Member,5,38,M,Communist Party of Nepal (UML),497,Elected
1163,Province 1,Sankhuwasawa,Dharmadevi Urban Municipality,Female Ward Member,5,36,F,Communist Party of Nepal (UML),516,Elected
