SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
3263,Mohattari,Samsi Rural Municipality,Ward Member,7,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),322,Elected,,
3264,Mohattari,Samsi Rural Municipality,Ward Member,7,40,M,Communist Party of Nepal (UML),318,Elected,,
3265,Mohattari,Samsi Rural Municipality,Female Ward Member,7,27,F,Communist Party of Nepal (UML),322,Elected,,
3266,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,7,48,F,Communist Party of Nepal (UML),334,Elected,,
3267,Mohattari,Sonama Rural Municipality,Mayor,,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"4,132",Elected,,
3268,Mohattari,Sonama Rural Municipality,Vice-Mayor,,35,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"4,321",Elected,,
3269,Mohattari,Sonama Rural Municipality,Ward President,1,22,M,Sanghiya Samajbadi Forum-Nepal (SSFN),777,Elected,,
3270,Mohattari,Sonama Rural Municipality,Ward Member,1,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),864,Elected,,
3271,Mohattari,Sonama Rural Municipality,Ward Member,1,67,M,Sanghiya Samajbadi Forum-Nepal (SSFN),839,Elected,,
3272,Mohattari,Sonama Rural Municipality,Female Ward Member,1,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),877,Elected,,
3273,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,1,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),881,Elected,,
3274,Mohattari,Sonama Rural Municipality,Ward President,2,46,M,Nepali Congress,368,Elected,,
3275,Mohattari,Sonama Rural Municipality,Ward Member,2,30,M,Sanghiya Samajbadi Forum-Nepal (SSFN),394,Elected,,
3276,Mohattari,Sonama Rural Municipality,Ward Member,2,49,M,Nepali Congress,372,Elected,,
3277,Mohattari,Sonama Rural Municipality,Female Ward Member,2,50,F,Sanghiya Samajbadi Forum-Nepal (SSFN),392,Elected,,
3278,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,2,50,F,Sanghiya Samajbadi Forum-Nepal (SSFN),388,Elected,,
3279,Mohattari,Sonama Rural Municipality,Ward President,3,32,M,Sanghiya Samajbadi Forum-Nepal (SSFN),744,Elected,,
3280,Mohattari,Sonama Rural Municipality,Ward Member,3,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),742,Elected,,
3281,Mohattari,Sonama Rural Municipality,Ward Member,3,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),687,Elected,,
3282,Mohattari,Sonama Rural Municipality,Female Ward Member,3,31,F,Sanghiya Samajbadi Forum-Nepal (SSFN),703,Elected,,
3283,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,3,33,F,Sanghiya Samajbadi Forum-Nepal (SSFN),703,Elected,,
3284,Mohattari,Sonama Rural Municipality,Ward President,4,43,M,Independent,234,Elected,,
3285,Mohattari,Sonama Rural Municipality,Ward Member,4,31,M,Nepali Congress,192,Elected,,
3286,Mohattari,Sonama Rural Municipality,Ward Member,4,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),173,Elected,,
3287,Mohattari,Sonama Rural Municipality,Female Ward Member,4,37,F,Nepali Congress,210,Elected,,
3288,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,4,45,F,Nepali Congress,210,Elected,,
3289,Mohattari,Sonama Rural Municipality,Ward President,5,59,M,Nepali Congress,609,Elected,,
3290,Mohattari,Sonama Rural Municipality,Ward Member,5,30,M,Nepali Congress,535,Elected,,
3291,Mohattari,Sonama Rural Municipality,Ward Member,5,43,M,Nepali Congress,505,Elected,,
3292,Mohattari,Sonama Rural Municipality,Female Ward Member,5,43,F,Nepali Congress,534,Elected,,
3293,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,5,51,F,Nepali Congress,532,Elected,,
3294,Mohattari,Sonama Rural Municipality,Ward President,6,49,M,Nepali Congress,608,Elected,,
3295,Mohattari,Sonama Rural Municipality,Ward Member,6,39,M,Nepali Congress,410,Elected,,
3296,Mohattari,Sonama Rural Municipality,Ward Member,6,56,M,Nepali Congress,381,Elected,,
3297,Mohattari,Sonama Rural Municipality,Female Ward Member,6,49,F,Nepali Congress,428,Elected,,
3298,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,6,27,F,Nepali Congress,410,Elected,,
3299,Mohattari,Sonama Rural Municipality,Ward President,7,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),463,Elected,,
3300,Mohattari,Sonama Rural Municipality,Ward Member,7,40,M,Sanghiya Samajbadi Forum-Nepal (SSFN),481,Elected,,
3301,Mohattari,Sonama Rural Municipality,Ward Member,7,29,M,Sanghiya Samajbadi Forum-Nepal (SSFN),481,Elected,,
3302,Mohattari,Sonama Rural Municipality,Female Ward Member,7,41,F,Sanghiya Samajbadi Forum-Nepal (SSFN),473,Elected,,
3303,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,7,44,F,Sanghiya Samajbadi Forum-Nepal (SSFN),488,Elected,,
3304,Mohattari,Sonama Rural Municipality,Ward President,8,48,M,Independent,344,Elected,,
3305,Mohattari,Sonama Rural Municipality,Ward Member,8,63,M,Nepali Congress,319,Elected,,
3306,Mohattari,Sonama Rural Municipality,Ward Member,8,60,M,Sanghiya Samajbadi Forum-Nepal (SSFN),269,Elected,,
3307,Mohattari,Sonama Rural Municipality,Female Ward Member,8,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),273,Elected,,
3308,Mohattari,Sonama Rural Municipality,Dalit Female Ward Member,8,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),283,Elected,,
3309,Sarlahi,Ishworpur Urban Municipality,Mayor,,46,M,Communist Party of Nepal (UML),"6,560",Elected,,
3310,Sarlahi,Ishworpur Urban Municipality,Vice Mayor,,42,F,Communist Party of Nepal (UML),"6,678",Elected,,
3311,Sarlahi,Ishworpur Urban Municipality,Ward President,1,46,M,Communist Party of Nepal (Maoist Centre),402,Elected,,
3312,Sarlahi,Ishworpur Urban Municipality,Ward Member,1,36,M,Communist Party of Nepal (Maoist Centre),398,Elected,,
3313,Sarlahi,Ishworpur Urban Municipality,Ward Member,1,43,M,Communist Party of Nepal (Maoist Centre),388,Elected,,
3314,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (Maoist Centre),419,Elected,,
3315,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,1,54,F,Communist Party of Nepal (Maoist Centre),400,Elected,,
3316,Sarlahi,Ishworpur Urban Municipality,Ward President,2,41,M,Communist Party of Nepal (UML),532,Elected,,
3317,Sarlahi,Ishworpur Urban Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),524,Elected,,
3318,Sarlahi,Ishworpur Urban Municipality,Ward Member,2,34,M,Communist Party of Nepal (UML),505,Elected,,
3319,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,2,28,F,Communist Party of Nepal (UML),532,Elected,,
3320,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (UML),530,Elected,,
3321,Sarlahi,Ishworpur Urban Municipality,Ward President,3,52,M,Communist Party of Nepal (UML),668,Elected,,
3322,Sarlahi,Ishworpur Urban Municipality,Ward Member,3,46,F,Communist Party of Nepal (UML),701,Elected,,
3323,Sarlahi,Ishworpur Urban Municipality,Ward Member,3,45,M,Communist Party of Nepal (UML),647,Elected,,
3324,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,3,46,F,Communist Party of Nepal (UML),654,Elected,,
3325,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,3,33,F,Communist Party of Nepal (UML),647,Elected,,
3326,Sarlahi,Ishworpur Urban Municipality,Ward President,4,57,M,Communist Party of Nepal (UML),649,Elected,,
3327,Sarlahi,Ishworpur Urban Municipality,Ward Member,4,54,M,Communist Party of Nepal (UML),692,Elected,,
3328,Sarlahi,Ishworpur Urban Municipality,Ward Member,4,55,F,Communist Party of Nepal (UML),653,Elected,,
3329,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,4,40,F,Communist Party of Nepal (UML),688,Elected,,
3330,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,4,25,F,Communist Party of Nepal (UML),687,Elected,,
3331,Sarlahi,Ishworpur Urban Municipality,Ward President,5,50,M,Communist Party of Nepal (UML),646,Elected,,
3332,Sarlahi,Ishworpur Urban Municipality,Ward Member,5,62,M,Communist Party of Nepal (UML),632,Elected,,
3333,Sarlahi,Ishworpur Urban Municipality,Ward Member,5,37,M,Communist Party of Nepal (UML),613,Elected,,
3334,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,5,44,F,Communist Party of Nepal (UML),626,Elected,,
3335,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,5,45,F,Communist Party of Nepal (UML),619,Elected,,
3336,Sarlahi,Ishworpur Urban Municipality,Ward President,6,37,M,Communist Party of Nepal (UML),356,Elected,,
3337,Sarlahi,Ishworpur Urban Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),352,Elected,,
3338,Sarlahi,Ishworpur Urban Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),349,Elected,,
3339,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,6,43,F,Communist Party of Nepal (UML),400,Elected,,
3340,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),401,Elected,,
3341,Sarlahi,Ishworpur Urban Municipality,Ward President,7,50,M,Nepali Congress,507,Elected,,
3342,Sarlahi,Ishworpur Urban Municipality,Ward Member,7,62,M,Nepali Congress,495,Elected,,
3343,Sarlahi,Ishworpur Urban Municipality,Ward Member,7,40,M,Communist Party of Nepal (UML),489,Elected,,
3344,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,7,66,F,Nepali Congress,510,Elected,,
3345,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,7,46,F,Nepali Congress,489,Elected,,
3346,Sarlahi,Ishworpur Urban Municipality,Ward President,8,61,M,Nepali Congress,633,Elected,,
3347,Sarlahi,Ishworpur Urban Municipality,Ward Member,8,58,M,Nepali Congress,529,Elected,,
3348,Sarlahi,Ishworpur Urban Municipality,Ward Member,8,59,M,Communist Party of Nepal (UML),459,Elected,,
3349,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,8,57,F,Communist Party of Nepal (UML),485,Elected,,
3350,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,8,49,F,Communist Party of Nepal (UML),473,Elected,,
3351,Sarlahi,Ishworpur Urban Municipality,Ward President,9,45,M,"Rastriya Janata Party, Nepal",750,Elected,,
3352,Sarlahi,Ishworpur Urban Municipality,Ward Member,9,45,M,"Rastriya Janata Party, Nepal",792,Elected,,
3353,Sarlahi,Ishworpur Urban Municipality,Ward Member,9,65,M,"Rastriya Janata Party, Nepal",779,Elected,,
3354,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,9,34,F,"Rastriya Janata Party, Nepal",812,Elected,,
3355,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,9,46,F,"Rastriya Janata Party, Nepal",827,Elected,,
3356,Sarlahi,Ishworpur Urban Municipality,Ward President,10,46,M,Communist Party of Nepal (UML),365,Elected,,
3357,Sarlahi,Ishworpur Urban Municipality,Ward Member,10,59,M,Communist Party of Nepal (UML),363,Elected,,
3358,Sarlahi,Ishworpur Urban Municipality,Ward Member,10,66,M,Communist Party of Nepal (UML),317,Elected,,
3359,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,10,50,F,Communist Party of Nepal (UML),385,Elected,,
3360,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,10,37,F,Communist Party of Nepal (UML),378,Elected,,
3361,Sarlahi,Ishworpur Urban Municipality,Ward President,11,44,M,"Rastriya Janata Party, Nepal",286,Elected,,
3362,Sarlahi,Ishworpur Urban Municipality,Ward Member,11,37,M,"Rastriya Janata Party, Nepal",280,Elected,,
3363,Sarlahi,Ishworpur Urban Municipality,Ward Member,11,52,M,"Rastriya Janata Party, Nepal",278,Elected,,
3364,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,11,47,F,"Rastriya Janata Party, Nepal",290,Elected,,
3365,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,11,39,F,"Rastriya Janata Party, Nepal",283,Elected,,
3366,Sarlahi,Ishworpur Urban Municipality,Ward President,12,43,M,Nepali Congress,670,Elected,,
3367,Sarlahi,Ishworpur Urban Municipality,Ward Member,12,38,M,Nepali Congress,670,Elected,,
3368,Sarlahi,Ishworpur Urban Municipality,Ward Member,12,31,M,Nepali Congress,663,Elected,,
3369,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,12,53,F,Nepali Congress,643,Elected,,
3370,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,12,35,F,Nepali Congress,629,Elected,,
3371,Sarlahi,Ishworpur Urban Municipality,Ward President,13,51,M,Nepali Congress,466,Elected,,
3372,Sarlahi,Ishworpur Urban Municipality,Ward Member,13,33,M,Communist Party of Nepal (Maoist Centre),431,Elected,,
3373,Sarlahi,Ishworpur Urban Municipality,Ward Member,13,46,M,Communist Party of Nepal (Maoist Centre),420,Elected,,
3374,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,13,54,F,Communist Party of Nepal (Maoist Centre),423,Elected,,
3375,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,13,42,F,Communist Party of Nepal (Maoist Centre),421,Elected,,
3376,Sarlahi,Ishworpur Urban Municipality,Ward President,14,38,M,Communist Party of Nepal (UML),457,Elected,,
3377,Sarlahi,Ishworpur Urban Municipality,Ward Member,14,41,M,Communist Party of Nepal (UML),433,Elected,,
3378,Sarlahi,Ishworpur Urban Municipality,Ward Member,14,41,M,Communist Party of Nepal (UML),424,Elected,,
3379,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,14,45,F,Communist Party of Nepal (UML),442,Elected,,
3380,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,14,27,F,Communist Party of Nepal (UML),446,Elected,,
3381,Sarlahi,Ishworpur Urban Municipality,Ward President,15,48,M,"Rastriya Janata Party, Nepal",451,Elected,,
3382,Sarlahi,Ishworpur Urban Municipality,Ward Member,15,36,M,"Rastriya Janata Party, Nepal",435,Elected,,
3383,Sarlahi,Ishworpur Urban Municipality,Ward Member,15,70,M,"Rastriya Janata Party, Nepal",414,Elected,,
3384,Sarlahi,Ishworpur Urban Municipality,Female Ward Member,15,39,F,"Rastriya Janata Party, Nepal",457,Elected,,
3385,Sarlahi,Ishworpur Urban Municipality,Dalit Female Ward Member,15,53,F,"Rastriya Janata Party, Nepal",469,Elected,,
3386,Sarlahi,Kabilashi Urban Municipality,Mayor,,46,M,"Rastriya Janata Party, Nepal","3,395",Elected,,
3387,Sarlahi,Kabilashi Urban Municipality,Vice Mayor,,42,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,657",Elected,,
3388,Sarlahi,Kabilashi Urban Municipality,Ward President,1,44,M,Nepali Congress,555,Elected,,
3389,Sarlahi,Kabilashi Urban Municipality,Ward Member,1,40,M,Nepali Congress,514,Elected,,
3390,Sarlahi,Kabilashi Urban Municipality,Ward Member,1,42,M,Nepali Congress,507,Elected,,
3391,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,1,42,F,Nepali Congress,522,Elected,,
3392,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,1,46,F,Nepali Congress,522,Elected,,
3393,Sarlahi,Kabilashi Urban Municipality,Ward President,2,62,M,Nepali Congress,507,Elected,,
3394,Sarlahi,Kabilashi Urban Municipality,Ward Member,2,68,M,Nepali Congress,492,Elected,,
3395,Sarlahi,Kabilashi Urban Municipality,Ward Member,2,64,M,Nepali Congress,485,Elected,,
3396,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,2,61,F,Nepali Congress,480,Elected,,
3397,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,2,42,F,Nepali Congress,497,Elected,,
3398,Sarlahi,Kabilashi Urban Municipality,Ward President,3,57,M,Nepal Loktantric Forum,454,Elected,,
3399,Sarlahi,Kabilashi Urban Municipality,Ward Member,3,54,M,Nepal Loktantric Forum,412,Elected,,
3400,Sarlahi,Kabilashi Urban Municipality,Ward Member,3,49,M,Nepal Loktantric Forum,391,Elected,,
3401,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,3,48,F,Nepal Loktantric Forum,434,Elected,,
3402,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,3,59,F,Nepal Loktantric Forum,416,Elected,,
3403,Sarlahi,Kabilashi Urban Municipality,Ward President,4,35,M,Communist Party of Nepal (UML),541,Elected,,
3404,Sarlahi,Kabilashi Urban Municipality,Ward Member,4,35,M,Communist Party of Nepal (UML),520,Elected,,
3405,Sarlahi,Kabilashi Urban Municipality,Ward Member,4,36,M,Communist Party of Nepal (UML),494,Elected,,
3406,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,4,85,F,Communist Party of Nepal (UML),503,Elected,,
3407,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,4,49,F,Communist Party of Nepal (UML),509,Elected,,
3408,Sarlahi,Kabilashi Urban Municipality,Ward President,5,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),339,Elected,,
3409,Sarlahi,Kabilashi Urban Municipality,Ward Member,5,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),351,Elected,,
3410,Sarlahi,Kabilashi Urban Municipality,Ward Member,5,34,M,Sanghiya Samajbadi Forum-Nepal (SSFN),328,Elected,,
3411,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,5,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),318,Elected,,
3412,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,5,53,F,Sanghiya Samajbadi Forum-Nepal (SSFN),332,Elected,,
3413,Sarlahi,Kabilashi Urban Municipality,Ward President,6,45,M,Communist Party of Nepal (Maoist Centre),496,Elected,,
3414,Sarlahi,Kabilashi Urban Municipality,Ward Member,6,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),575,Elected,,
3415,Sarlahi,Kabilashi Urban Municipality,Ward Member,6,31,M,Sanghiya Samajbadi Forum-Nepal (SSFN),551,Elected,,
3416,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,6,42,F,Sanghiya Samajbadi Forum-Nepal (SSFN),573,Elected,,
3417,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,6,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),586,Elected,,
3418,Sarlahi,Kabilashi Urban Municipality,Ward President,7,41,M,Sanghiya Samajbadi Forum-Nepal (SSFN),736,Elected,,
3419,Sarlahi,Kabilashi Urban Municipality,Ward Member,7,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),628,Elected,,
3420,Sarlahi,Kabilashi Urban Municipality,Ward Member,7,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),611,Elected,,
3421,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,7,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),713,Elected,,
3422,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,7,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),714,Elected,,
3423,Sarlahi,Kabilashi Urban Municipality,Ward President,8,39,M,Communist Party of Nepal (UML),649,Elected,,
3424,Sarlahi,Kabilashi Urban Municipality,Ward Member,8,69,M,Communist Party of Nepal (UML),722,Elected,,
3425,Sarlahi,Kabilashi Urban Municipality,Ward Member,8,61,M,Communist Party of Nepal (UML),678,Elected,,
3426,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,8,45,F,Communist Party of Nepal (UML),720,Elected,,
3427,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,8,34,F,Communist Party of Nepal (UML),717,Elected,,
3428,Sarlahi,Kabilashi Urban Municipality,Ward President,9,48,M,Communist Party of Nepal (UML),533,Elected,,
3429,Sarlahi,Kabilashi Urban Municipality,Ward Member,9,61,M,Communist Party of Nepal (UML),550,Elected,,
3430,Sarlahi,Kabilashi Urban Municipality,Ward Member,9,44,M,Communist Party of Nepal (UML),520,Elected,,
3431,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,9,62,F,Communist Party of Nepal (UML),549,Elected,,
3432,Sarlahi,Kabilashi Urban Municipality,Dalit Female Ward Member,9,45,F,Communist Party of Nepal (UML),550,Elected,,
3433,Sarlahi,Kabilashi Urban Municipality,Ward President,10,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),621,Elected,,
3434,Sarlahi,Kabilashi Urban Municipality,Ward Member,10,26,M,Sanghiya Samajbadi Forum-Nepal (SSFN),571,Elected,,
3435,Sarlahi,Kabilashi Urban Municipality,Ward Member,10,31,M,Sanghiya Samajbadi Forum-Nepal (SSFN),551,Elected,,
3436,Sarlahi,Kabilashi Urban Municipality,Female Ward Member,10,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),562,Elected,,
